Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label
[BMIm]+,[TFSI]-,zero,Au(111),2.285714286,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.243,4,139.222,4_139.222
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,10.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.678481013,5,62.092,5_62.092
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.32,4,46.093,4_46.093
[C10(C1Im)2]2+,[TFSI]-,zero,mica,2.4,4.268585015,2.8978,304.482,11,0.052,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.028,1,304.482,1_304.482
"[Py1,4]+",[FAP]-,zero,Au(111),4.014337,3.423597497,2.0269,142.266,3,6.0,0,1.5,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.59,5,142.266,5_142.266
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,40.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.9,7,62.092,7_62.092
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.81,5.174799948,12.446,483.87,28,12.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1096,2,483.87,2_483.87
[BMIm]+,[TFSI]-,zero,Au(111),0.719038018,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.044,1,139.222,1_139.222
[BMIm]+,[PF6]-,zero,HOPG,3.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.005,0,139.222,0_139.222
"[P6,6,6,14]+",[BMB]-,PC,Au(111),5.32,5.174799948,12.446,483.87,28,12.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1288,3,483.87,3_483.87
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.42,5.174799948,12.446,483.87,28,1.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.0618,2,483.87,2_483.87
[BMIm]+,[PF6]-,zero,mica,2.6,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.09,2,139.222,2_139.222
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,30.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.149367089,6,46.093,6_46.093
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,40.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,4.4,7,60.12,7_60.12
[BMIm]+,[AOT]-,H2O,Au(111),1.44,3.310978931,1.1127,139.222,3,6.0,0,1.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.431,5,139.222,5_139.222
"[P6,6,6,14]+",[DS]-,(CH2CO2Et)2,stainless steel,1.18,5.174799948,12.446,483.87,28,6.0,1,0.0,265.395,319.1282666,3.990255029,0,0.07,0.01,66.43,0.9,0.0,4.337445108,3.3841,72.0,0,298,1.263,0,249.2312434,3.038016531,0.69,5,483.87,5_483.87
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,10.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,3.424295775,7,60.12,7_60.12
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,5.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,2.75528169,7,60.12,7_60.12
[HOC3MPip]+,[TFSI]-,zero,mica,1.526,3.47886167,0.9993,158.265,3,6.0,0,0.0,280.147,108.1303606,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.25045382,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.23,4,158.265,4_158.265
[HMIM]+,[I]-,zero,stainless steel,3.371237458,3.540263249,1.8929,167.276,5,6.0,1,0.0,126.904,215.3680851,2.113761051,0,0.07,0.01,0.0,0.89,8.81,2.153242802,-2.996,72.0,0,298,100.0,1,0.0,0.0,0.46,5,167.276,5_167.276
[C10(C1Im)2]2+,[TFSI]-,zero,mica,2.4,4.268585015,2.8978,304.482,11,0.47,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.01,0,304.482,0_304.482
[HMIM]+,[FAP]-,zero,HOPG,3.654545455,3.540263249,1.8929,167.276,5,6.0,0,0.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.11984,3,167.276,3_167.276
[BMIm]+,[TFSI]-,PIL,Au(111),3.760869565,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,95.0,1,384.7328028,5.284512596,0.911,6,139.222,6_139.222
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),3.043478261,3.639451851,0.2289,196.274,5,6.0,0,0.0,280.147,293.312147,3.359227186,0,0.7,-0.02,82.38,1.0,37.91,2.128181097,1.0593,60.0,0,298,5.0,2,384.7328028,5.284512596,0.634,5,196.274,5_196.274
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),3.760869565,3.639451851,0.2289,196.274,5,6.0,0,-1.0,280.147,293.312147,3.359227186,0,0.7,-0.02,82.38,1.0,37.91,2.128181097,1.0593,60.0,0,298,5.0,2,384.7328028,5.284512596,0.911,6,196.274,6_196.274
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,40.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.8,6,62.092,6_62.092
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,5.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.197183099,6,74.147,6_74.147
